"PageFile","ControlType","DisplayText","AutomationId","HandlerOrCommand","HandlerStatus","Validation","LoadingState","ErrorState","SuccessState","DisabledState","DoubleTapProtection","RuntimeTested"
"MainPage.xaml","Entry","ط§ط¨ط­ط« ط¹ظ† ظپط±ظٹظ‚...","","OnTeamPickerSearchChanged","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","CollectionView","","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","CollectionView","","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnTeamPicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCloseSettings","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnDataSettingsTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnBackupTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnRestoreTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnOpenDataManager","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnSystemSettingsTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnDataStatusTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnDiagnosticsTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnVersionInfoTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnUpdateLogTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnHonorsSettingsTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnBadgeInfoTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnAchievementRulesTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnHallOfFameRulesTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnSupportSettingsTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnSendSupportReportTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnInstagramTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnEmailTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnAboutSettingsTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnUserGuideTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnSecuritySettingsTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnDeveloperLockTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnSecurityLogTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Button","ط­ط°ظپ ط§ظ„ط³ط¬ظ„ط§طھ ط§ظ„ظ…ط¤ظ‚طھط©","","OnClearTemporaryLogsClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnHonorActivationTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCloseDataManager","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnRebuildRankingsTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnDeleteRankingsTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnDeleteAllMatchesTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCleanCorruptedDataTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCloseVersionInfo","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCopyVersionInfoTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCloseUpdateLog","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCloseInfoSheet","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCloseUserGuide","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnClosePrivacyProfile","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Picker","ط§ط®طھط± ط§ظ„ظپط¦ط© ط§ظ„ط¹ظ…ط±ظٹط©","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Picker","","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Picker","ط§ط®طھط± ط§ظ„ط¬ظ†ط³","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Picker","","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Entry","ط§ظƒطھط¨ ط§ظ„ظ…ط­ط§ظپط¸ط© ظپظ‚ط·","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Button","ط¥ط¯ط§ط±ط© طµظˆط± ط§ظ„ظ„ط§ط¹ط¨ظٹظ†","","OnOpenPlayerProfilesClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Button","ط­ظپط¸ ط§ظ„ظ…ظ„ظپ ط§ظ„ط´ط®طµظٹ","","OnSavePrivacyProfileClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Button","ط­ط°ظپ ط¨ظٹط§ظ†ط§طھ ط§ظ„ظ…ظ„ظپ ط§ظ„ط´ط®طµظٹ","","OnDeletePrivacyProfileClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCloseSecurityLog","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCloseDeveloperLock","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Entry","ظƒظ„ظ…ط© ظ…ط±ظˆط± ط§ظ„ظ…ط·ظˆط±","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Entry","طھط£ظƒظٹط¯ ظƒظ„ظ…ط© ط§ظ„ظ…ط±ظˆط±","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Button","ط­ظپط¸ ظƒظ„ظ…ط© ظ…ط±ظˆط± ط§ظ„ظ…ط·ظˆط±","","OnSaveDeveloperPasswordClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Button","ط§ط®طھط¨ط§ط± ظƒظ„ظ…ط© ط§ظ„ظ…ط±ظˆط±","","OnTestDeveloperPasswordClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","TapGestureRecognizer","","","OnCloseHonorActivation","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Entry","ط§ظ„ط§ط³ظ… ط£ظˆ ID","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Entry","ظ…ظپطھط§ط­ ط§ظ„طھظپط¹ظٹظ„","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Button","طھظپط¹ظٹظ„","","OnActivateHonorClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"MainPage.xaml","Button","طھطµظپظٹط± ظ‡ظˆظٹط© ط§ظ„ط´ط±ظپ ظپظ‚ط·","","OnDebugClearHonorIdentityClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Controls\HallSideMenuView.xaml","ImageButton","","","OnHomeClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Controls\HallSideMenuView.xaml","ImageButton","","","OnTeamsClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Controls\HallSideMenuView.xaml","ImageButton","","","OnPlayersClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Controls\HallSideMenuView.xaml","ImageButton","","","OnAchievementsClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Controls\HallSideMenuView.xaml","ImageButton","","","OnHistoryClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Controls\HallSideMenuView.xaml","ImageButton","","","OnStatsClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","â†گ ط§ظ„ط¹ظˆط¯ط©","","OnBackClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","ط³ط¬ظ„ ط§ظ„ظ…ط´طھط±ظٹط§طھ","","OnHistoryClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","+","","OnAddCoinsClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","+","","OnAddGemsClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","{Binding PriceText}","","OnPackageClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","ط´ط±ط§ط، ط§ظ„ط¹ط±ط¶","","OnOfferClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","{Binding VipPlan.MonthlyPriceText}","","OnVipClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","ط§ط³طھظ„ظ… ظ…ظƒط§ظپط¢طھ ط§ظ„ط´ط­ظ†","","OnFirstRechargeClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","ط§ط³طھظ„ط§ظ…","","OnProgressRewardClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","TapGestureRecognizer","","","OnPaymentMethodTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","ط¹ط±ط¶ ط§ظ„ظƒظ„","","OnHistoryClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","TapGestureRecognizer","","","OnFaqTapped","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"Features\RechargeCenter\Pages\RechargeCenterPage.xaml","Button","طھظˆط§طµظ„ ظ…ط¹ ط§ظ„ط¯ط¹ظ…","","OnSupportClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Button","â€¹","","OnCancelClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Entry","ط§ظ„ط§ط³ظ… ط¨ط§ظ„ط¹ط±ط¨ظٹط©","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Entry","English name","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Editor","ط§ظ„ظˆطµظپ","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Entry","طµظˆط±ط© ط§ظ„ظ„ط§ط¹ط¨","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Button","ط§ط®طھظٹط§ط± طµظˆط±ط©","","OnPickImageClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Entry","ط§ظ„طµظˆط±ط© ط§ظ„ظ…طµط؛ط±ط©","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Button","ط§ط®طھظٹط§ط± ظ…طµط؛ط±ط©","","OnPickThumbnailClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","ط§ظ„طھطµظ†ظٹظپ","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","ط§ظ„ظ…ط¬ظ…ظˆط¹ط©","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","ط§ظ„ظ†ط¯ط±ط©","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Entry","ط§ظ„ط³ط¹ط±","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","ط§ظ„ط¹ظ…ظ„ط©","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","ظ†ظˆط¹ ط§ظ„ظپطھط­","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Switch","","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","ظ…طھط·ظ„ط¨ ط§ظ„ظپطھط­","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","ط§ظ„ظˆط³ظ…","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","ط§ظ„ظ†ظˆط¹ / ط§ظ„ط£ط³ظ„ظˆط¨","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Switch","","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Switch","","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Switch","","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Entry","ط£ظˆظ„ظˆظٹط© ط§ظ„طھظ…ظٹظٹط²","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Entry","طھط±طھظٹط¨ ط§ظ„ط¹ط±ط¶","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","Season","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","Event","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","CollectionId","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","Animation","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","Frame","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Picker","Glow Effect","","","No handler/command attribute","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Button","â—ڈ","","OnPresetColorClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Button","â—ڈ","","OnPresetColorClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Button","â—ڈ","","OnPresetColorClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Button","â—ڈ","","OnPresetColorClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
"GalleryEngine\Admin\AvatarsEditorPage.xaml","Button","â—ڈ","","OnPresetColorClicked","Found in code-behind","Static pending","Static pending","Static pending","Static pending","Not explicit","Navigation guarded where routed; action-specific pending","No"
