"Page","File","Purpose","EntryPaths","ExitPaths","AuthRole","InteractiveControls","TextInputs","EventsOrCommands","DataSource","SavePath","RuntimeTested","Result","Defects","CompletionPercent"
"CertificatePrintPage","Pages\CertificatePrintPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Not proven","0","0","","CertificateQrService; NavigationGuardService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"SelectableCarouselItem","Pages\CreateTeamPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","Authenticated/Contextual","157","78","Clicked=; SelectionChanged=; Tapped=; TextChanged=","ApplicationUserService; NavigationGuardService; PlayerIdentityService; PlayerProfileService; RankingService; StoreAssetCatalogService; TeamEligibleAssetService; TeamProfileService","DeleteTeamAsync; SavePlayersAsync; SaveTeamsAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"DeveloperLoginPage","Pages\DeveloperLoginPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","Not proven","60","50","Clicked=","DeveloperLockService; DeveloperVaultService; NavigationGuardService","WriteAllTextAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"GamePage","Pages\GamePage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Not proven","29","0",".Clicked +=; Clicked=; GestureRecognizers.Add; Tapped=","GameService; NavigationGuardService; PlayerProfileService; PlayerRankService; PlayerStoreIdentityService; PlayerWalletService; RankingService; TeamProfileService","DeleteRoundAsync; SaveMatchAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"HallCandidateCenterPage","Pages\HallCandidateCenterPage.cs","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Authenticated/Contextual","7","7",".Clicked +=","ApplicationUserService; HallOfFameService; HallStatisticsDashboardService; NavigationGuardService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"HallOfFamePage","Pages\HallOfFamePage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync; NavigationGuardService.ResetRootAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync; NavigationGuardService.ResetRootAsync","Authenticated/Contextual","7","1",".Clicked +=; Clicked=; Tapped=","ApplicationUserService; HallOfFameService; HallStatisticsDashboardService; NavigationGuardService; TeamProfileService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"HistoryPage","Pages\HistoryPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","Not proven","20","3","Clicked=; Tapped=; TextChanged=","GameService; NavigationGuardService; RankingService","DeleteMatchAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"HonorsAdminPage","Pages\HonorsAdminPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.SetRoot","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.SetRoot","Not proven","38","24","Clicked=; Tapped=","DataMaintenanceService; DeveloperLockService; DeveloperVaultService; HonorIdentityService; NavigationGuardService; SpecialHonorsService","WriteAllTextAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"MatchDetailsPage","Pages\MatchDetailsPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","Not proven","11","0","GestureRecognizers.Add; Tapped=","NavigationGuardService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"MatchSharePage","Pages\MatchSharePage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Not proven","0","0","","CertificateQrService; NavigationGuardService; TeamProfileService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"PlayerDetailsPage","Pages\PlayerDetailsPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","Authenticated/Contextual","29","0",".Clicked +=; Clicked=; SelectionChanged=; Tapped=","ApplicationUserService; AvatarService; NavigationGuardService; PlayerAchievementService; PlayerInventoryService; PlayerProfileService; PlayerRankService; PlayerTeamSyncService; PlayerTimelineService; StoreAssetCatalogService; StoreAssetQueryService; StoreEquipService; TeamProfileService","DeleteTimelineEventAsync; EquipAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"PlayerProfilesPage","Pages\PlayerProfilesPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","Authenticated/Contextual","20","2",".Clicked +=; Clicked=; Tapped=; TextChanged=","ApplicationUserService; NavigationGuardService; PlayerAssetInventoryService; PlayerManagementService; PlayerProfileService; PlayerRankService; PlayerTeamSyncService; StoreAssetCatalogService; StoreAssetQueryService; TeamAssetInventoryService; TeamProfileService","DeleteAllPlayersAsync; DeletePlayerAsync; DeleteSinglePlayerAsync; EquipAsync; EquipTeamEffectFromInventoryAsync","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"PlayerRankingsPage","Pages\PlayerRankingsPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","Authenticated/Contextual","16","11","Command =; GestureRecognizers.Add; Tapped=","NavigationGuardService; PlayerRankingService; PlayerRankService; RankProgressVisualService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"PlayerStatisticsPage","Pages\PlayerStatisticsPage.cs","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Not proven","2","0",".Clicked +=; Command =; GestureRecognizers.Add","HallStatisticsDashboardService; NavigationGuardService; PlayerProfileService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"PremiumAuthPage","Pages\PremiumAuthPage.cs","Static inventory required runtime classification","NavigationGuardService.PushOnceAsync; NavigationGuardService.SetRoot","NavigationGuardService.PushOnceAsync; NavigationGuardService.SetRoot","Authenticated/Contextual","144","86",".Clicked +=; Command =","ApplicationUserService; NavigationGuardService; PremiumAccountAuthService; SupabaseAccountLinkService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"RankingsPage","Pages\RankingsPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","NavigationGuardService.PopOrGoBackAsync; NavigationGuardService.PushOnceAsync","Not proven","15","1","Command =; GestureRecognizers.Add; Tapped=","CurrentSeasonAdminService; NavigationGuardService; PlayerProfileService; RankingService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"RulesPage","Pages\RulesPage.xaml","Static inventory required runtime classification","","","Not proven","0","0","","","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"StatisticsPage","Pages\StatisticsPage.xaml","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Not proven","1","0","Clicked=","GameService; NavigationGuardService; RankingService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
"TeamStatisticsPage","Pages\TeamStatisticsPage.cs","Static inventory required runtime classification","NavigationGuardService.PopOrGoBackAsync","NavigationGuardService.PopOrGoBackAsync","Not proven","2","0",".Clicked +=; Command =; GestureRecognizers.Add","HallStatisticsDashboardService; NavigationGuardService","","No","Static inventory only","Runtime verification pending","Static: 60 / Runtime: 0"
